id,relato_ocorrencia,natureza_penal,bairro_ficticio,turno,dia_semana,houve_violencia,envolve_menor,valor_prejuizo_reais,gravidade_lesao,meio_empregado,vinculo_partes,necessita_pericia,prioridade_atendimento,procedimento_recomendado,tempo_estimado_resolucao_dias
1,"Comunicante informa que teve aparelho celular subtraido de mochila em ponto de onibus sem perceber a acao",Furto,Setor Alfa,Manha,Segunda,false,false,1800.00,Nenhuma,Subtracao sem violencia,Desconhecido,false,Media,Inquerito Policial,45
2,"Vitima relata que foi abordada por individuo armado que levou carteira e documentos em via publica",Roubo,Setor Beta,Noite,Terca,true,false,450.00,Nenhuma,Arma de fogo,Desconhecido,false,Alta,Auto de Prisao em Flagrante,15
3,"Comunicante afirma ter recebido link falso de banco e realizou transferencia para conta desconhecida",Estelionato,Setor Gama,Tarde,Quarta,false,false,3200.00,Nenhuma,Meio digital,Desconhecido,false,Media,Inquerito Policial,60
4,"Moradora relata ameacas reiteradas enviadas por ex-companheiro por aplicativo de mensagens",Ameaca,Setor Delta,Noite,Quinta,false,false,0.00,Nenhuma,Mensagem eletronica,Ex-companheiro,false,Alta,Termo Circunstanciado de Ocorrencia,20
5,"Vitima informa agressao fisica durante discussao em comercio local com lesoes leves aparentes",Lesao Corporal,Setor Epsilon,Tarde,Sexta,true,false,0.00,Leve,Forca fisica,Conhecido,true,Alta,Termo Circunstanciado de Ocorrencia,25
6,"Comunicante relata dano em veiculo estacionado com vidro quebrado e objetos espalhados no interior",Dano ao Patrimonio,Setor Zeta,Madrugada,Sabado,false,false,2500.00,Nenhuma,Objeto contundente,Desconhecido,true,Media,Inquerito Policial,50
7,"Vizinho informa som excessivo vindo de residencia durante a madrugada apesar de pedidos de reducao",Perturbacao do Sossego,Setor Eta,Madrugada,Domingo,false,false,0.00,Nenhuma,Som amplificado,Vizinho,false,Baixa,Termo Circunstanciado de Ocorrencia,10
8,"Denuncia anonima relata comercializacao de entorpecentes nas proximidades de escola ficticia",Trafico de Drogas,Setor Teta,Tarde,Segunda,false,true,0.00,Nenhuma,Substancia ilicita,Desconhecido,false,Alta,Inquerito Policial,90
9,"Familiar comunica que adolescente nao retornou para casa apos sair para curso no periodo da tarde",Pessoa Desaparecida,Setor Iota,Noite,Terca,false,true,0.00,Nenhuma,Nao se aplica,Familiar,false,Alta,Inquerito Policial,30
10,"Mulher relata agressao verbal e empurrao praticados por companheiro dentro da residencia",Violencia Domestica,Setor Kappa,Noite,Quarta,true,false,0.00,Leve,Forca fisica,Companheiro,true,Alta,Auto de Prisao em Flagrante,15
11,"Comunicante percebeu ausencia de notebook deixado em sala compartilhada de trabalho",Furto,Setor Alfa,Tarde,Quinta,false,false,4200.00,Nenhuma,Subtracao sem violencia,Colega,false,Media,Inquerito Policial,55
12,"Vitima foi segurada pelo braco e teve bolsa arrancada por duas pessoas em motocicleta",Roubo,Setor Beta,Manha,Sexta,true,false,900.00,Leve,Forca fisica,Desconhecido,false,Alta,Auto de Prisao em Flagrante,18
13,"Pessoa relata compra de produto anunciado em plataforma online sem entrega apos pagamento",Estelionato,Setor Gama,Noite,Sabado,false,false,750.00,Nenhuma,Meio digital,Desconhecido,false,Media,Inquerito Policial,70
14,"Comerciante informa ter recebido ameaca de cliente insatisfeito apos desacordo sobre servico",Ameaca,Setor Delta,Manha,Domingo,false,false,0.00,Nenhuma,Presencial,Cliente,false,Media,Termo Circunstanciado de Ocorrencia,15
15,"Vitima relata soco no rosto durante discussao familiar com necessidade de atendimento medico",Lesao Corporal,Setor Epsilon,Noite,Segunda,true,false,0.00,Moderada,Forca fisica,Familiar,true,Alta,Inquerito Policial,35
16,"Morador informa pichacao recente em muro de predio comercial sem identificacao do autor",Dano ao Patrimonio,Setor Zeta,Madrugada,Terca,false,false,1200.00,Nenhuma,Tinta spray,Desconhecido,true,Baixa,Termo Circunstanciado de Ocorrencia,25
